"user_input","expected_slots","DM_output"
"""What is the release year of the album Born to Die?""","""{""album_info"": {""slots"": {""album_name"": ""Born to Die""; ""artist_name"": null; ""details"": [""release_date""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Born to Die"", ""details"": [""artist_name""] } }"
"""Who is the artist of the song Dancing Queen?""","""{""song_info"": {""slots"": {""song_name"": ""Dancing Queen""; ""artist_name"": null; ""details"": [""artist_name""]}}}""","{ ""next_best_action"": ""confirmation(song_info)"", ""args(song_info)"": { ""details"": [""artist_name""], ""song_name"": ""Dancing Queen"" }}"
"""How many total tracks are in the album Random Access Memories?""","""{""album_info"": {""slots"": {""album_name"": ""Random Access Memories""; ""artist_name"": null; ""details"": [""total_tracks""]}}}""","{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Random Access Memories"", ""details"": [""artist_name""] } }"
"What are the genres of the song Hotel California? And the duration of Imagine?","[{"song_info1": {"slots": {"song_name": "Hotel California"; "artist_name": null; "details": ["genres"]}}}; {"song_info2": {"slots": {"song_name": "Imagine"; "artist_name": null; "details": ["duration"]}}}]","[{ ""next_best_action"": ""request_info(song_info1)"", ""args(song_info1)"": { ""song_name"": ""Hotel California"", ""details"": [""artist_name""] } }, { ""next_best_action"": ""request_info(song_info2)"", ""args(song_info2)"": { ""song_name"": ""Imagine"", ""details"": [""artist_name""] } }]"
"Tell me how many tracks the album Divide has and the duration of Shape of You.","[{"song_info": {"slots": {"song_name": "Shape of You"; "artist_name": null; "details": ["duration"]}}}; {"album_info": {"slots": {"album_name": "Divide"; "artist_name": null; "details": ["total_tracks"]}}}]","[{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Divide"", ""details"": [""artist_name""] } }, { ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Shape Of You"", ""details"": [""artist_name""] } }]"
"What is the release date of the song Blinding Lights and who is the artist?","{"song_info": {"slots": {"song_name": "Blinding Lights"; "artist_name": null; "details": ["release_date"; "artist_name"]}}}", "{ ""next_best_action"": ""request_info(song_info)"", ""args(song_info)"": { ""song_name"": ""Blinding Lights"", ""details"": [""artist_name"", ""release_date""] }}"
"Show me my top artists for the last month and also my top tracks.","[{"user_top_tracks": {"slots": {"time_frame": "short_term"; "limit": null}}}; {"user_top_artists": {"slots": {"time_frame": "short_term"; "limit": null}}}]", "[{ ""next_best_action"": ""request_info(user_top_artists)"", ""args(user_top_artists)"": { ""details"": [""limit""] } }, { ""next_best_action"": ""request_info(user_top_tracks)"", ""args(user_top_tracks)"": { ""details"": [""limit""] } }]"
"What are the genres of the album Lemonade and the popularity of Beyoncé?","[{"album_info": {"slots": {"album_name": "Lemonade"; "artist_name": null; "details": ["genres"]}}}; {"artist_info": {"slots": {"artist_name": "Beyoncé"; "details": ["popularity"]}}}]", "[{ ""next_best_action"": ""confirmation(album_info)"", ""args(album_info)"": { ""album_name"": ""Lemonade"", ""details"": [""genres""] }}, { ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""Beyoncé"", ""details"": [""popularity""] } }]"
"How many followers does The Weeknd have and what are my top tracks from last year?","[{"artist_info": {"slots": {"artist_name": "The Weeknd"; "details": ["followers"]}}}; {"user_top_tracks": {"slots": {"time_frame": "long_term"; "limit": null}}}]", "[{ ""next_best_action"": ""confirmation(artist_info)"", ""args(artist_info)"": { ""artist_name"": ""The Weeknd"", ""details"": [""followers""] } }, { ""next_best_action"": ""request_info(user_top_tracks)"",  ""args(user_top_tracks)"": { ""details"": [""limit""] } }]"
"Tell me about the album Thriller and suggest me some pop music.","[{"album_info": {"slots": {"album_name": "Thriller"; "artist_name": null; "details": ["all"]}}}; {"get_recommendations": {"slots": {"genre": "pop"; "limit": null}}}]", "[{ ""next_best_action"": ""request_info(album_info)"", ""args(album_info)"": { ""album_name"": ""Thriller"", ""artist_name"": null, ""details"": [""artist_name""] }}, { ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""details"": [""limit""]} }]"
"Give me some electronic music recommendations and tell me the duration of 'Strobe' by Deadmau5.","[{"song_info": {"slots": {"song_name": "Strobe"; "artist_name": "Deadmau5"; "details": ["duration"]}}}; \n{"get_recommendations": {"slots": {"genre": "electronic"; "limit": null}}}]", "[ { ""next_best_action"": ""request_info(get_recommendations)"", ""args(get_recommendations)"": { ""details"": [""limit""]} }, { ""next_best_action"": ""confirmation(song_info)"", ""args(song_info)"": { ""song_name"": ""Strobe"", ""artist_name"": ""Deadmau5"", ""details"": [""duration""] }}]"
